[ 2012-12-10T14:37:00+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T14:37:00+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001316s ]
[ 2012-12-10T14:37:00+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.002537s ]
[ 2012-12-10T14:37:00+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004055s ]
[ 2012-12-10T14:37:00+08:00 ] / | SQL: SHOW COLUMNS FROM `dds_project` [ RunTime:0.003779s ]
[ 2012-12-10T14:37:00+08:00 ] / | SQL: SELECT * FROM `dds_project`  [ RunTime:0.012988s ]
[ 2012-12-10T14:37:00+08:00 ] / | SQL: SHOW COLUMNS FROM `dds_procates` [ RunTime:0.003269s ]
[ 2012-12-10T14:37:00+08:00 ] / | SQL: SELECT * FROM `dds_procates`  [ RunTime:0.000974s ]
[ 2012-12-10T14:37:00+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-12-10T14:37:00+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.001767s ]
[ 2012-12-10T14:37:00+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.001844s ]
[ 2012-12-10T14:37:00+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-12-10T14:37:00+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.031791s ]
[ 2012-12-10T14:37:00+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031892s ]
[ 2012-12-10T14:37:00+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-12-10T14:37:00+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.001602s ]
[ 2012-12-10T14:37:00+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.001710s ]
[ 2012-12-10T14:37:00+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000907s ]
[ 2012-12-10T14:37:00+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.001166s ]
[ 2012-12-10T14:37:00+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005599s ]
[ 2012-12-10T14:37:00+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-12-10T14:37:00+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.001958s ]
[ 2012-12-10T14:37:00+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.002063s ]
[ 2012-12-10T14:37:17+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T14:37:17+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001827s ]
[ 2012-12-10T14:37:17+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.005515s ]
[ 2012-12-10T14:37:17+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007700s ]
[ 2012-12-10T14:37:17+08:00 ] / | SQL: SHOW COLUMNS FROM `dds_project` [ RunTime:0.002309s ]
[ 2012-12-10T14:37:17+08:00 ] / | SQL: SELECT * FROM `dds_project`  [ RunTime:0.000760s ]
[ 2012-12-10T14:37:17+08:00 ] / | SQL: SHOW COLUMNS FROM `dds_procates` [ RunTime:0.006990s ]
[ 2012-12-10T14:37:17+08:00 ] / | SQL: SELECT * FROM `dds_procates`  [ RunTime:0.000368s ]
[ 2012-12-10T14:37:17+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-12-10T14:37:17+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.002129s ]
[ 2012-12-10T14:37:17+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.002228s ]
[ 2012-12-10T14:37:17+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-12-10T14:37:17+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.035215s ]
[ 2012-12-10T14:37:17+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.035320s ]
[ 2012-12-10T14:37:17+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-12-10T14:37:17+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.001570s ]
[ 2012-12-10T14:37:17+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.001569s ]
[ 2012-12-10T14:37:17+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000864s ]
[ 2012-12-10T14:37:17+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.001211s ]
[ 2012-12-10T14:37:17+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005421s ]
[ 2012-12-10T14:37:17+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-12-10T14:37:17+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.001834s ]
[ 2012-12-10T14:37:17+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.001936s ]
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | INFO: Tag[ route_check ] --START--
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | INFO: Run CheckRoute Behavior [ RunTime:0.002106s ]
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | INFO: Tag[ route_check ] --END-- [ RunTime:0.002361s ]
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000842s ]
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | INFO: Run CheckLang Behavior [ RunTime:0.002060s ]
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003155s ]
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | SQL: SHOW COLUMNS FROM `dds_team` [ RunTime:0.003306s ]
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | SQL: SELECT * FROM `dds_team`  [ RunTime:0.001223s ]
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | SQL: SHOW COLUMNS FROM `dds_procates` [ RunTime:0.003380s ]
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | SQL: SELECT * FROM `dds_procates`  [ RunTime:0.000224s ]
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | SQL: SHOW COLUMNS FROM `dds_client` [ RunTime:0.035070s ]
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | SQL: SELECT * FROM `dds_client`  [ RunTime:0.000897s ]
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | SQL: SHOW COLUMNS FROM `dds_article` [ RunTime:0.002680s ]
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | SQL: SELECT * FROM `dds_article` WHERE ( `model` = 'contact' ) LIMIT 1   [ RunTime:0.001109s ]
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | SQL: SHOW COLUMNS FROM `dds_article` [ RunTime:0.002151s ]
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | SQL: SELECT * FROM `dds_article` WHERE ( `model` = 'about' ) LIMIT 1   [ RunTime:0.000802s ]
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | INFO: Tag[ view_template ] --START--
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | INFO: Run LocationTemplate Behavior [ RunTime:0.001170s ]
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | INFO: Tag[ view_template ] --END-- [ RunTime:0.001245s ]
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | INFO: Tag[ view_parse ] --START--
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | NOTIC: [8] Undefined index:  pic bc0f2a6cf999ca5be2ed8b7de52d8101.php 第 118 行.
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | NOTIC: [8] Undefined index:  infor bc0f2a6cf999ca5be2ed8b7de52d8101.php 第 121 行.
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | NOTIC: [8] Undefined index:  email bc0f2a6cf999ca5be2ed8b7de52d8101.php 第 122 行.
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | NOTIC: [8] Undefined index:  email bc0f2a6cf999ca5be2ed8b7de52d8101.php 第 122 行.
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | INFO: Run ParseTemplate Behavior [ RunTime:0.018405s ]
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018490s ]
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | INFO: Tag[ view_filter ] --START--
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | INFO: Run ContentReplace Behavior [ RunTime:0.000481s ]
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | INFO: Run TokenBuild Behavior [ RunTime:0.000434s ]
[ 2012-12-10T14:37:19+08:00 ] /index.php/Index/company | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000247s ]
