[ 2012-12-06T10:02:47+08:00 ] / | ERR: (ThinkException) 无法加载模块Index
[ 2012-12-06T10:03:05+08:00 ] /index.php/admin/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002520s ]
[ 2012-12-06T10:03:05+08:00 ] /index.php/admin/Login | INFO: Tag[ view_end ] --START--
[ 2012-12-06T10:03:05+08:00 ] /index.php/admin/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000530s ]
[ 2012-12-06T10:03:05+08:00 ] /index.php/admin/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000595s ]
[ 2012-12-06T10:03:05+08:00 ] /index.php/admin/Login/verify/ | INFO: Tag[ route_check ] --START--
[ 2012-12-06T10:03:05+08:00 ] /index.php/admin/Login/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.000888s ]
[ 2012-12-06T10:03:05+08:00 ] /index.php/admin/Login/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001010s ]
[ 2012-12-06T10:03:05+08:00 ] /index.php/admin/Login/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T10:03:05+08:00 ] /index.php/admin/Login/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000567s ]
[ 2012-12-06T10:03:05+08:00 ] /index.php/admin/Login/verify/ | INFO: Run CheckLang Behavior [ RunTime:0.001649s ]
[ 2012-12-06T10:03:05+08:00 ] /index.php/admin/Login/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002353s ]
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | INFO: Tag[ route_check ] --START--
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | INFO: Run CheckRoute Behavior [ RunTime:0.001031s ]
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001167s ]
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000607s ]
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | INFO: Run CheckLang Behavior [ RunTime:0.001595s ]
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002335s ]
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | NOTIC: [8] Undefined index:  ok LoginAction.class.php 第 7 行.
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | INFO: Tag[ view_template ] --START--
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.000614s ]
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000685s ]
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | INFO: Tag[ view_parse ] --START--
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.009663s ]
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009765s ]
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | INFO: Tag[ view_filter ] --START--
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | INFO: Run ContentReplace Behavior [ RunTime:0.000406s ]
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | INFO: Run TokenBuild Behavior [ RunTime:0.000427s ]
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000455s ]
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.000621s ]
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002224s ]
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | INFO: Tag[ view_end ] --START--
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000524s ]
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000593s ]
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login/verify/ | INFO: Tag[ route_check ] --START--
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.000901s ]
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001026s ]
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000560s ]
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login/verify/ | INFO: Run CheckLang Behavior [ RunTime:0.001842s ]
[ 2012-12-06T10:03:09+08:00 ] /index.php/admin/Login/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002536s ]
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ route_check ] --START--
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.002416s ]
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.002567s ]
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002053s ]
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | INFO: Run CheckLang Behavior [ RunTime:0.003438s ]
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005692s ]
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | SQL: SHOW COLUMNS FROM `dds_admin` [ RunTime:0.002338s ]
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | SQL: SELECT * FROM `dds_admin` WHERE name='admin' LIMIT 1   [ RunTime:0.000680s ]
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ view_template ] --START--
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.002458s ]
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.002545s ]
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ view_parse ] --START--
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | INFO: Run ParseTemplate Behavior [ RunTime:0.023555s ]
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023656s ]
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ view_filter ] --START--
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | INFO: Run ContentReplace Behavior [ RunTime:0.001552s ]
[ 2012-12-06T10:03:35+08:00 ] /index.php/admin/Login/checkLogin | INFO: Run TokenBuild Behavior [ RunTime:0.001995s ]
