[ 2012-12-14T16:44:49+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ route_check ] --START--
[ 2012-12-14T16:44:49+08:00 ] /index.php/admin/Login/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.001702s ]
[ 2012-12-14T16:44:49+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001837s ]
[ 2012-12-14T16:44:49+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2012-12-14T16:44:49+08:00 ] /index.php/admin/Login/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001536s ]
[ 2012-12-14T16:44:49+08:00 ] /index.php/admin/Login/checkLogin | INFO: Run CheckLang Behavior [ RunTime:0.002713s ]
[ 2012-12-14T16:44:49+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004462s ]
[ 2012-12-14T16:44:50+08:00 ] /index.php/admin/Login/checkLogin | SQL: SHOW COLUMNS FROM `dds_admin` [ RunTime:0.060358s ]
[ 2012-12-14T16:44:50+08:00 ] /index.php/admin/Login/checkLogin | SQL: SELECT * FROM `dds_admin` WHERE name='admin' LIMIT 1   [ RunTime:0.001085s ]
[ 2012-12-14T16:44:50+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ view_template ] --START--
[ 2012-12-14T16:44:50+08:00 ] /index.php/admin/Login/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.001915s ]
[ 2012-12-14T16:44:50+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.002047s ]
[ 2012-12-14T16:44:50+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ view_parse ] --START--
[ 2012-12-14T16:44:50+08:00 ] /index.php/admin/Login/checkLogin | INFO: Run ParseTemplate Behavior [ RunTime:0.020851s ]
[ 2012-12-14T16:44:50+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020955s ]
[ 2012-12-14T16:44:50+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ view_filter ] --START--
[ 2012-12-14T16:44:50+08:00 ] /index.php/admin/Login/checkLogin | INFO: Run ContentReplace Behavior [ RunTime:0.001104s ]
[ 2012-12-14T16:44:50+08:00 ] /index.php/admin/Login/checkLogin | INFO: Run TokenBuild Behavior [ RunTime:0.001251s ]
[ 2012-12-14T16:44:50+08:00 ] /index.php/admin/Login/checkLogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001055s ]
[ 2012-12-14T16:44:50+08:00 ] /index.php/admin/Login/checkLogin | INFO: Run ShowRuntime Behavior [ RunTime:0.001414s ]
[ 2012-12-14T16:44:50+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005070s ]
[ 2012-12-14T16:44:50+08:00 ] /index.php/admin/Login/checkLogin | INFO: Tag[ view_end ] --START--
[ 2012-12-14T16:44:50+08:00 ] /index.php/admin/Login/checkLogin | INFO: Run ShowPageTrace Behavior [ RunTime:0.001331s ]
