[ 2012-12-11T17:40:45+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T17:40:45+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002778s ]
[ 2012-12-11T17:40:45+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.002640s ]
[ 2012-12-11T17:40:45+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005671s ]
[ 2012-12-11T17:40:45+08:00 ] / | SQL: SHOW COLUMNS FROM `dds_project` [ RunTime:0.032057s ]
[ 2012-12-11T17:40:45+08:00 ] / | SQL: SELECT * FROM `dds_project`  [ RunTime:0.002059s ]
[ 2012-12-11T17:40:45+08:00 ] / | SQL: SHOW COLUMNS FROM `dds_procates` [ RunTime:0.002662s ]
[ 2012-12-11T17:40:45+08:00 ] / | SQL: SELECT * FROM `dds_procates`  [ RunTime:0.000896s ]
[ 2012-12-11T17:40:45+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-12-11T17:40:45+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.002291s ]
[ 2012-12-11T17:40:45+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.002365s ]
[ 2012-12-11T17:40:45+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-12-11T17:40:45+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.033347s ]
[ 2012-12-11T17:40:45+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.033448s ]
[ 2012-12-11T17:40:45+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-12-11T17:40:45+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.002104s ]
[ 2012-12-11T17:40:45+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.002315s ]
[ 2012-12-11T17:40:45+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001434s ]
[ 2012-12-11T17:40:45+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.001775s ]
[ 2012-12-11T17:40:45+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007856s ]
[ 2012-12-11T17:40:45+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-12-11T17:40:45+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.002578s ]
[ 2012-12-11T17:40:45+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.002683s ]
[ 2012-12-11T17:41:54+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T17:41:54+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001779s ]
[ 2012-12-11T17:41:54+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.002172s ]
[ 2012-12-11T17:41:54+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004128s ]
[ 2012-12-11T17:41:54+08:00 ] / | SQL: SHOW COLUMNS FROM `dds_project` [ RunTime:0.002422s ]
[ 2012-12-11T17:41:54+08:00 ] / | SQL: SELECT * FROM `dds_project`  [ RunTime:0.000668s ]
[ 2012-12-11T17:41:54+08:00 ] / | SQL: SHOW COLUMNS FROM `dds_procates` [ RunTime:0.002378s ]
[ 2012-12-11T17:41:54+08:00 ] / | SQL: SELECT * FROM `dds_procates`  [ RunTime:0.000753s ]
[ 2012-12-11T17:41:54+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-12-11T17:41:54+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.002390s ]
[ 2012-12-11T17:41:54+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.002469s ]
[ 2012-12-11T17:41:54+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-12-11T17:41:54+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.033591s ]
[ 2012-12-11T17:41:54+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.033711s ]
[ 2012-12-11T17:41:54+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-12-11T17:41:54+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.002216s ]
[ 2012-12-11T17:41:54+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.002187s ]
[ 2012-12-11T17:41:54+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000861s ]
[ 2012-12-11T17:41:54+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.001710s ]
[ 2012-12-11T17:41:54+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007178s ]
[ 2012-12-11T17:41:54+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-12-11T17:41:54+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.001903s ]
[ 2012-12-11T17:41:54+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.001997s ]
[ 2012-12-11T17:42:06+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T17:42:06+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001734s ]
[ 2012-12-11T17:42:06+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.001893s ]
[ 2012-12-11T17:42:06+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003804s ]
[ 2012-12-11T17:42:06+08:00 ] / | SQL: SHOW COLUMNS FROM `dds_project` [ RunTime:0.002303s ]
[ 2012-12-11T17:42:06+08:00 ] / | SQL: SELECT * FROM `dds_project`  [ RunTime:0.000769s ]
[ 2012-12-11T17:42:06+08:00 ] / | SQL: SHOW COLUMNS FROM `dds_procates` [ RunTime:0.003589s ]
[ 2012-12-11T17:42:06+08:00 ] / | SQL: SELECT * FROM `dds_procates`  [ RunTime:0.000324s ]
[ 2012-12-11T17:42:06+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-12-11T17:42:06+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.002088s ]
[ 2012-12-11T17:42:06+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.002169s ]
[ 2012-12-11T17:42:06+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-12-11T17:42:06+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.025910s ]
[ 2012-12-11T17:42:06+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.026023s ]
[ 2012-12-11T17:42:06+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-12-11T17:42:06+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.002381s ]
[ 2012-12-11T17:42:06+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.002548s ]
[ 2012-12-11T17:42:06+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000724s ]
[ 2012-12-11T17:42:06+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.001866s ]
[ 2012-12-11T17:42:06+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007825s ]
[ 2012-12-11T17:42:06+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-12-11T17:42:06+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.001903s ]
[ 2012-12-11T17:42:06+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.001996s ]
[ 2012-12-11T17:42:47+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T17:42:47+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001819s ]
[ 2012-12-11T17:42:47+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.002767s ]
[ 2012-12-11T17:42:47+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004793s ]
[ 2012-12-11T17:42:47+08:00 ] / | SQL: SHOW COLUMNS FROM `dds_project` [ RunTime:0.002514s ]
[ 2012-12-11T17:42:47+08:00 ] / | SQL: SELECT * FROM `dds_project`  [ RunTime:0.001466s ]
[ 2012-12-11T17:42:47+08:00 ] / | SQL: SHOW COLUMNS FROM `dds_procates` [ RunTime:0.004342s ]
[ 2012-12-11T17:42:47+08:00 ] / | SQL: SELECT * FROM `dds_procates`  [ RunTime:0.001652s ]
[ 2012-12-11T17:42:47+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-12-11T17:42:47+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.002426s ]
[ 2012-12-11T17:42:47+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.002538s ]
[ 2012-12-11T17:42:47+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-12-11T17:42:47+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.027039s ]
[ 2012-12-11T17:42:47+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.027152s ]
[ 2012-12-11T17:42:47+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-12-11T17:42:47+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.003196s ]
[ 2012-12-11T17:42:47+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.002002s ]
[ 2012-12-11T17:42:47+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000558s ]
[ 2012-12-11T17:42:47+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.001697s ]
[ 2012-12-11T17:42:47+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007674s ]
[ 2012-12-11T17:42:47+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-12-11T17:42:47+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.002030s ]
[ 2012-12-11T17:42:47+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.002124s ]
[ 2012-12-11T17:43:00+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T17:43:00+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001299s ]
