[ 2012-12-12T14:32:50+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-12T14:32:50+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001202s ]
[ 2012-12-12T14:32:50+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.002552s ]
[ 2012-12-12T14:32:50+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003932s ]
[ 2012-12-12T14:32:50+08:00 ] / | SQL: SHOW COLUMNS FROM `dds_project` [ RunTime:0.036817s ]
[ 2012-12-12T14:32:50+08:00 ] / | SQL: SELECT * FROM `dds_project`  [ RunTime:0.005494s ]
[ 2012-12-12T14:32:51+08:00 ] / | SQL: SHOW COLUMNS FROM `dds_procates` [ RunTime:0.023303s ]
[ 2012-12-12T14:32:51+08:00 ] / | SQL: SELECT * FROM `dds_procates`  [ RunTime:0.000428s ]
[ 2012-12-12T14:32:51+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-12-12T14:32:51+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.002198s ]
[ 2012-12-12T14:32:51+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.002296s ]
[ 2012-12-12T14:32:51+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-12-12T14:32:51+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.044009s ]
[ 2012-12-12T14:32:51+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.044112s ]
[ 2012-12-12T14:32:51+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-12-12T14:32:51+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.001571s ]
[ 2012-12-12T14:32:51+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.001589s ]
[ 2012-12-12T14:32:51+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000887s ]
[ 2012-12-12T14:32:51+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.001307s ]
[ 2012-12-12T14:32:51+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005603s ]
[ 2012-12-12T14:32:51+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-12-12T14:32:51+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.001410s ]
[ 2012-12-12T14:32:51+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.001508s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | INFO: Tag[ route_check ] --START--
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | INFO: Run CheckRoute Behavior [ RunTime:0.001867s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | INFO: Tag[ route_check ] --END-- [ RunTime:0.002096s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | INFO: Tag[ app_begin ] --START--
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000687s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | INFO: Run CheckLang Behavior [ RunTime:0.001640s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002481s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | SQL: SHOW COLUMNS FROM `dds_team` [ RunTime:0.028726s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | SQL: SELECT * FROM `dds_team`  [ RunTime:0.000836s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | SQL: SHOW COLUMNS FROM `dds_procates` [ RunTime:0.001693s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | SQL: SELECT * FROM `dds_procates`  [ RunTime:0.000179s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | SQL: SHOW COLUMNS FROM `dds_client` [ RunTime:0.022016s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | SQL: SELECT * FROM `dds_client`  [ RunTime:0.000345s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | SQL: SHOW COLUMNS FROM `dds_article` [ RunTime:0.019251s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | SQL: SELECT * FROM `dds_article` WHERE ( `model` = 'contact' ) LIMIT 1   [ RunTime:0.012387s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | SQL: SHOW COLUMNS FROM `dds_article` [ RunTime:0.001789s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | SQL: SELECT * FROM `dds_article` WHERE ( `model` = 'about' ) LIMIT 1   [ RunTime:0.000760s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | INFO: Tag[ view_template ] --START--
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | INFO: Run LocationTemplate Behavior [ RunTime:0.001147s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | INFO: Tag[ view_template ] --END-- [ RunTime:0.001221s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | INFO: Tag[ view_parse ] --START--
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | INFO: Run ParseTemplate Behavior [ RunTime:0.021669s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021775s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | INFO: Tag[ view_filter ] --START--
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | INFO: Run ContentReplace Behavior [ RunTime:0.000505s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | INFO: Run TokenBuild Behavior [ RunTime:0.000443s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000239s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | INFO: Run ShowRuntime Behavior [ RunTime:0.000470s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001835s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | INFO: Tag[ view_end ] --START--
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | INFO: Run ShowPageTrace Behavior [ RunTime:0.000535s ]
[ 2012-12-12T14:32:56+08:00 ] /index.php/Index/company | INFO: Tag[ view_end ] --END-- [ RunTime:0.000626s ]
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | INFO: Tag[ route_check ] --START--
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.000884s ]
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001007s ]
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | INFO: Tag[ app_begin ] --START--
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000564s ]
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | INFO: Run CheckLang Behavior [ RunTime:0.001708s ]
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002424s ]
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | SQL: SHOW COLUMNS FROM `dds_project` [ RunTime:0.001891s ]
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | SQL: SELECT * FROM `dds_project`  [ RunTime:0.000233s ]
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | SQL: SHOW COLUMNS FROM `dds_procates` [ RunTime:0.001744s ]
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | SQL: SELECT * FROM `dds_procates`  [ RunTime:0.000161s ]
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | INFO: Tag[ view_template ] --START--
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | INFO: Run LocationTemplate Behavior [ RunTime:0.000480s ]
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000547s ]
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | INFO: Tag[ view_parse ] --START--
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | INFO: Run ParseTemplate Behavior [ RunTime:0.019579s ]
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019679s ]
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | INFO: Tag[ view_filter ] --START--
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | INFO: Run ContentReplace Behavior [ RunTime:0.000953s ]
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | INFO: Run TokenBuild Behavior [ RunTime:0.000875s ]
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000247s ]
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | INFO: Run ShowRuntime Behavior [ RunTime:0.000527s ]
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002811s ]
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | INFO: Tag[ view_end ] --START--
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000545s ]
[ 2012-12-12T14:33:37+08:00 ] /index.php/Index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000633s ]
[ 2012-12-12T14:41:24+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-12T14:41:24+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001166s ]
[ 2012-12-12T14:41:24+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.002475s ]
[ 2012-12-12T14:41:24+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003841s ]
[ 2012-12-12T14:41:24+08:00 ] / | SQL: SHOW COLUMNS FROM `dds_project` [ RunTime:0.002329s ]
[ 2012-12-12T14:41:24+08:00 ] / | SQL: SELECT * FROM `dds_project`  [ RunTime:0.000625s ]
[ 2012-12-12T14:41:24+08:00 ] / | SQL: SHOW COLUMNS FROM `dds_procates` [ RunTime:0.001631s ]
[ 2012-12-12T14:41:24+08:00 ] / | SQL: SELECT * FROM `dds_procates`  [ RunTime:0.000173s ]
[ 2012-12-12T14:41:24+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-12-12T14:41:24+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.001942s ]
[ 2012-12-12T14:41:24+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.002044s ]
[ 2012-12-12T14:41:24+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-12-12T14:41:24+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.024364s ]
[ 2012-12-12T14:41:24+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024468s ]
[ 2012-12-12T14:41:24+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-12-12T14:41:24+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.001660s ]
[ 2012-12-12T14:41:24+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.001559s ]
[ 2012-12-12T14:41:24+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000850s ]
[ 2012-12-12T14:41:24+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.001225s ]
[ 2012-12-12T14:41:24+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005570s ]
[ 2012-12-12T14:41:24+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-12-12T14:41:24+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.001327s ]
[ 2012-12-12T14:41:24+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.001431s ]
[ 2012-12-12T14:42:23+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-12T14:42:23+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000683s ]
[ 2012-12-12T14:42:23+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.002427s ]
[ 2012-12-12T14:42:23+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003359s ]
[ 2012-12-12T14:42:23+08:00 ] / | SQL: SHOW COLUMNS FROM `dds_project` [ RunTime:0.001871s ]
[ 2012-12-12T14:42:23+08:00 ] / | SQL: SELECT * FROM `dds_project`  [ RunTime:0.000327s ]
[ 2012-12-12T14:42:23+08:00 ] / | SQL: SHOW COLUMNS FROM `dds_procates` [ RunTime:0.001975s ]
[ 2012-12-12T14:42:23+08:00 ] / | SQL: SELECT * FROM `dds_procates`  [ RunTime:0.000326s ]
[ 2012-12-12T14:42:23+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-12-12T14:42:23+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000482s ]
[ 2012-12-12T14:42:23+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000550s ]
[ 2012-12-12T14:42:23+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-12-12T14:42:23+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.019998s ]
[ 2012-12-12T14:42:23+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020099s ]
[ 2012-12-12T14:42:23+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-12-12T14:42:23+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000908s ]
[ 2012-12-12T14:42:23+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000793s ]
[ 2012-12-12T14:42:23+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000242s ]
[ 2012-12-12T14:42:23+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000526s ]
[ 2012-12-12T14:42:23+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002656s ]
[ 2012-12-12T14:42:23+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-12-12T14:42:23+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000551s ]
[ 2012-12-12T14:42:23+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000640s ]
[ 2012-12-12T14:42:37+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-12T14:42:37+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000740s ]
[ 2012-12-12T14:42:37+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.001885s ]
[ 2012-12-12T14:42:37+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002876s ]
[ 2012-12-12T14:42:37+08:00 ] / | SQL: SHOW COLUMNS FROM `dds_project` [ RunTime:0.001903s ]
[ 2012-12-12T14:42:37+08:00 ] / | SQL: SELECT * FROM `dds_project`  [ RunTime:0.000224s ]
