[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/main | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003590s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/main | NOTIC: [8] Undefined variable: dbsize IndexAction.class.php 第 27 行.
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/main | INFO: Tag[ view_template ] --START--
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/main | INFO: Run LocationTemplate Behavior [ RunTime:0.001366s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/main | INFO: Tag[ view_template ] --END-- [ RunTime:0.001476s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/main | INFO: Tag[ view_parse ] --START--
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/main | INFO: Run ParseTemplate Behavior [ RunTime:0.047514s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/main | INFO: Tag[ view_parse ] --END-- [ RunTime:0.047599s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/main | INFO: Tag[ view_filter ] --START--
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/main | INFO: Run ContentReplace Behavior [ RunTime:0.000407s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/main | INFO: Run TokenBuild Behavior [ RunTime:0.000430s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/main | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000266s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/main | INFO: Run ShowRuntime Behavior [ RunTime:0.000480s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/main | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001789s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/main | INFO: Tag[ view_end ] --START--
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/main | INFO: Run ShowPageTrace Behavior [ RunTime:0.000548s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/main | INFO: Tag[ view_end ] --END-- [ RunTime:0.000641s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ route_check ] --START--
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | INFO: Run CheckRoute Behavior [ RunTime:0.001073s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ route_check ] --END-- [ RunTime:0.001218s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ app_begin ] --START--
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001121s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | INFO: Run CheckLang Behavior [ RunTime:0.002164s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007350s ]
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | INFO: Tag[ view_template ] --START--
[ 2012-12-07T14:23:44+08:00 ] /index.php/admin/Index/menu | INFO: Run LocationTemplate Behavior [ RunTime:0.000808s ]
