[ 2012-12-08T00:38:02+08:00 ] /ddsfilm/ | SQL: SELECT * FROM `dds_project`  [ RunTime:0.001810s ]
[ 2012-12-08T00:38:02+08:00 ] /ddsfilm/ | SQL: SHOW COLUMNS FROM `dds_procates` [ RunTime:0.013034s ]
[ 2012-12-08T00:38:02+08:00 ] /ddsfilm/ | SQL: SELECT * FROM `dds_procates`  [ RunTime:0.000944s ]
[ 2012-12-08T00:38:02+08:00 ] /ddsfilm/ | INFO: Tag[ view_template ] --START--
[ 2012-12-08T00:38:02+08:00 ] /ddsfilm/ | INFO: Run LocationTemplate Behavior [ RunTime:0.003824s ]
[ 2012-12-08T00:38:02+08:00 ] /ddsfilm/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.004117s ]
[ 2012-12-08T00:38:02+08:00 ] /ddsfilm/ | INFO: Tag[ view_parse ] --START--
[ 2012-12-08T00:38:02+08:00 ] /ddsfilm/ | INFO: Run ParseTemplate Behavior [ RunTime:0.059074s ]
[ 2012-12-08T00:38:02+08:00 ] /ddsfilm/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.059380s ]
[ 2012-12-08T00:38:02+08:00 ] /ddsfilm/ | INFO: Tag[ view_filter ] --START--
[ 2012-12-08T00:38:02+08:00 ] /ddsfilm/ | INFO: Run ContentReplace Behavior [ RunTime:0.004476s ]
[ 2012-12-08T00:38:02+08:00 ] /ddsfilm/ | INFO: Run TokenBuild Behavior [ RunTime:0.003362s ]
[ 2012-12-08T00:38:02+08:00 ] /ddsfilm/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002234s ]
[ 2012-12-08T00:38:02+08:00 ] /ddsfilm/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002532s ]
[ 2012-12-08T00:38:02+08:00 ] /ddsfilm/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.013471s ]
[ 2012-12-08T00:38:02+08:00 ] /ddsfilm/ | INFO: Tag[ view_end ] --START--
[ 2012-12-08T00:38:02+08:00 ] /ddsfilm/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002445s ]
[ 2012-12-08T00:38:02+08:00 ] /ddsfilm/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002743s ]
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ route_check ] --START--
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run CheckRoute Behavior [ RunTime:0.003861s ]
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ route_check ] --END-- [ RunTime:0.004201s ]
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ app_begin ] --START--
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002737s ]
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run CheckLang Behavior [ RunTime:0.003823s ]
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006998s ]
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | SQL: SHOW COLUMNS FROM `dds_team` [ RunTime:0.083449s ]
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | SQL: SELECT * FROM `dds_team`  [ RunTime:0.001231s ]
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | SQL: SHOW COLUMNS FROM `dds_procates` [ RunTime:0.015032s ]
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | SQL: SELECT * FROM `dds_procates`  [ RunTime:0.002645s ]
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ view_template ] --START--
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run LocationTemplate Behavior [ RunTime:0.003560s ]
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ view_template ] --END-- [ RunTime:0.003906s ]
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ view_parse ] --START--
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run ParseTemplate Behavior [ RunTime:0.044990s ]
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ view_parse ] --END-- [ RunTime:0.045293s ]
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ view_filter ] --START--
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run ContentReplace Behavior [ RunTime:0.002370s ]
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run TokenBuild Behavior [ RunTime:0.003733s ]
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001990s ]
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run ShowRuntime Behavior [ RunTime:0.002839s ]
[ 2012-12-08T00:39:46+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ view_filter ] --END-- [ RunTime:0.011731s ]
